starttime	seconds	ctime	dtime	ttime	wait
Sun Mar 23 23:37:23 2014	1395614243	12	6	18	5
Sun Mar 23 23:37:23 2014	1395614243	12	6	18	5
Sun Mar 23 23:37:23 2014	1395614243	12	6	18	5
Sun Mar 23 23:37:23 2014	1395614243	12	6	18	6
Sun Mar 23 23:37:23 2014	1395614243	12	6	18	6
Sun Mar 23 23:37:23 2014	1395614243	13	6	19	6
Sun Mar 23 23:37:23 2014	1395614243	13	6	19	6
Sun Mar 23 23:37:23 2014	1395614243	12	7	19	5
Sun Mar 23 23:37:23 2014	1395614243	12	7	19	5
Sun Mar 23 23:37:23 2014	1395614243	12	7	19	5
Sun Mar 23 23:37:23 2014	1395614243	12	7	19	6
Sun Mar 23 23:37:23 2014	1395614243	13	7	19	6
Sun Mar 23 23:37:23 2014	1395614243	13	7	19	6
Sun Mar 23 23:37:23 2014	1395614243	13	7	20	6
Sun Mar 23 23:37:23 2014	1395614243	13	7	20	6
Sun Mar 23 23:37:23 2014	1395614243	13	7	20	6
Sun Mar 23 23:37:23 2014	1395614243	13	7	20	6
Sun Mar 23 23:37:23 2014	1395614243	13	7	20	6
Sun Mar 23 23:37:23 2014	1395614243	12	8	20	7
Sun Mar 23 23:37:23 2014	1395614243	12	8	20	8
Sun Mar 23 23:37:23 2014	1395614243	12	8	20	8
Sun Mar 23 23:37:23 2014	1395614243	12	8	20	8
Sun Mar 23 23:37:23 2014	1395614243	12	8	20	8
Sun Mar 23 23:37:23 2014	1395614243	12	9	21	9
Sun Mar 23 23:37:23 2014	1395614243	13	9	21	8
Sun Mar 23 23:37:23 2014	1395614243	13	9	21	8
Sun Mar 23 23:37:23 2014	1395614243	12	9	21	9
Sun Mar 23 23:37:23 2014	1395614243	13	9	22	9
Sun Mar 23 23:37:23 2014	1395614243	13	9	22	9
Sun Mar 23 23:37:23 2014	1395614243	13	9	22	9
Sun Mar 23 23:37:23 2014	1395614243	12	12	24	5
Sun Mar 23 23:37:23 2014	1395614243	12	12	24	8
Sun Mar 23 23:37:23 2014	1395614243	12	12	24	12
Sun Mar 23 23:37:23 2014	1395614243	12	12	24	12
Sun Mar 23 23:37:23 2014	1395614243	12	12	24	12
Sun Mar 23 23:37:23 2014	1395614243	12	12	24	12
Sun Mar 23 23:37:23 2014	1395614243	12	12	24	12
Sun Mar 23 23:37:23 2014	1395614243	12	12	24	12
Sun Mar 23 23:37:23 2014	1395614243	12	12	24	12
Sun Mar 23 23:37:23 2014	1395614243	12	13	24	12
Sun Mar 23 23:37:23 2014	1395614243	12	13	25	13
Sun Mar 23 23:37:23 2014	1395614243	12	13	25	13
Sun Mar 23 23:37:23 2014	1395614243	12	14	26	13
Sun Mar 23 23:37:23 2014	1395614243	12	15	27	13
Sun Mar 23 23:37:23 2014	1395614243	12	15	27	13
Sun Mar 23 23:37:23 2014	1395614243	12	15	27	15
Sun Mar 23 23:37:23 2014	1395614243	12	15	27	15
Sun Mar 23 23:37:23 2014	1395614243	12	15	27	15
Sun Mar 23 23:37:23 2014	1395614243	12	17	29	16
Sun Mar 23 23:37:23 2014	1395614243	12	17	29	16
Sun Mar 23 23:37:23 2014	1395614243	12	17	29	16
Sun Mar 23 23:37:23 2014	1395614243	12	17	29	16
Sun Mar 23 23:37:23 2014	1395614243	12	18	30	18
Sun Mar 23 23:37:23 2014	1395614243	12	19	31	18
Sun Mar 23 23:37:23 2014	1395614243	12	19	31	18
Sun Mar 23 23:37:23 2014	1395614243	12	19	31	19
Sun Mar 23 23:37:23 2014	1395614243	12	20	31	20
Sun Mar 23 23:37:23 2014	1395614243	11	21	33	20
Sun Mar 23 23:37:23 2014	1395614243	12	22	33	20
Sun Mar 23 23:37:23 2014	1395614243	12	22	34	22
Sun Mar 23 23:37:23 2014	1395614243	12	23	34	21
Sun Mar 23 23:37:23 2014	1395614243	11	23	35	22
